,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.0010001659393310547,0.0006666978200276693,0.98,0.989998019409784,1,0.125,linear,"{'C': 1, 'gamma': 0.125, 'kernel': 'linear'}",10,1.0,0.9797979797979798,0.9607843137254902,1.0,0.9791666666666666,0.9901960784313726,0.0014144482360256038,0.00047142655959197545,0.016179144164088305,0.008248629202994184
1,0.0010002454121907551,0.0003333091735839844,0.9733333333333334,0.9767280649633592,1,0.125,rbf,"{'C': 1, 'gamma': 0.125, 'kernel': 'rbf'}",24,0.9803921568627451,0.9696969696969697,0.9607843137254902,0.98989898989899,0.9791666666666666,0.9705882352941176,1.1239159602905075e-07,0.00047137035374583886,0.009020673423841885,0.009320355370055428
2,0.0006666183471679688,0.0003333886464436849,0.98,0.989998019409784,1,0.25,linear,"{'C': 1, 'gamma': 0.25, 'kernel': 'linear'}",10,1.0,0.9797979797979798,0.9607843137254902,1.0,0.9791666666666666,0.9901960784313726,0.00047137035374583886,0.00047148274534186793,0.016179144164088305,0.008248629202994184
3,0.0003333886464436849,0.0010000069936116536,0.9733333333333334,0.9833630421865717,1,0.25,rbf,"{'C': 1, 'gamma': 0.25, 'kernel': 'rbf'}",24,0.9803921568627451,0.9696969696969697,0.9607843137254902,1.0,0.9791666666666666,0.9803921568627451,0.00047148274534186793,1.1239159602905075e-07,0.009020673423841885,0.012548254356472291
4,0.0006667772928873698,0.0,0.98,0.989998019409784,1,0.5,linear,"{'C': 1, 'gamma': 0.5, 'kernel': 'linear'}",10,1.0,0.9797979797979798,0.9607843137254902,1.0,0.9791666666666666,0.9901960784313726,0.00047148274534186793,0.0,0.016179144164088305,0.008248629202994184
5,0.0010000069936116536,0.0,0.98,0.9699940582293524,1,0.5,rbf,"{'C': 1, 'gamma': 0.5, 'kernel': 'rbf'}",10,0.9803921568627451,0.9595959595959596,0.9803921568627451,0.9797979797979798,0.9791666666666666,0.9705882352941176,1.1239159602905075e-07,0.0,0.0005716619504750275,0.008258134973020165
6,0.0006667772928873698,0.0,0.98,0.989998019409784,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",10,1.0,0.9797979797979798,0.9607843137254902,1.0,0.9791666666666666,0.9901960784313726,0.0004714827855295644,0.0,0.016179144164088305,0.008248629202994184
7,0.0006666183471679688,0.0003333091735839844,0.9733333333333334,0.9833630421865717,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",24,0.9803921568627451,0.9696969696969697,0.9411764705882353,1.0,1.0,0.9803921568627451,0.00047137035374583886,0.00047137035374583886,0.024414717515722953,0.012548254356472291
8,0.0003333886464436849,0.0006667772928873698,0.98,0.989998019409784,1,2,linear,"{'C': 1, 'gamma': 2, 'kernel': 'linear'}",10,1.0,0.9797979797979798,0.9607843137254902,1.0,0.9791666666666666,0.9901960784313726,0.00047148274534186793,0.00047148274534186793,0.016179144164088305,0.008248629202994184
9,0.0010000864664713542,0.0003333091735839844,0.98,0.9866310160427808,1,2,rbf,"{'C': 1, 'gamma': 2, 'kernel': 'rbf'}",10,0.9803921568627451,0.9696969696969697,0.9607843137254902,1.0,1.0,0.9901960784313726,1.1239159602905075e-07,0.00047137035374583886,0.015924659219017204,0.012625388806224458
